Page_Start,Title,Section,Page_Count,Advertiser,Sector,Description,Pub_No,Ad_Size
2,0001165_velon,Publicité,2,VELON,Montres de luxe,Marque suisse indépendante design brut et masculin spécialisée en pièces mécaniques en édition limitée.,,1/2
3,0001165_velon,Publicité,2,VELON,Montres de luxe,Marque suisse indépendante design brut et masculin spécialisée en pièces mécaniques en édition limitée.,,1/2
4,0001167_l'ardent,Publicité,2,L'Ardent,Parfumerie,Maison parisienne de parfums de niche fragrances boisées et animales pour hommes affirmés.,,1/2
6,0001169_noctive,Publicité,2,NOCTIVE,Spiritueux,Distillerie urbaine basée à Marseille rhums vieillis et whiskys artisanaux pensés pour les clubs privés.,,1/2
8,Sommaire & Édito,Intro,4,,,,, 
12,0001171_koers,Publicité,2,KOERS,Vélo & style,Vélos haut de gamme et équipements lifestyle pour cyclistes esthètes urbains.,,1/2
14,Opinion : Masculin pas fragile,Opinion,2,,,,,
16,Galerie : Lumière sur Ella,Photo,4,,,,,
20,Dossier : Le Sexe version 2025,Dossier,6,,,,,  
26,Interview : Pedro Pascal,Interview,4,,,,,
30,Galerie : Rivage interdit,Photo,4,,,,, 
34,Fiction : Elle était là,Fiction,2,,,,, 
36,0001173_trois_caves,Publicité,2,TROIS CAVES,Vin,Sélection mensuelle de vins rares et naturels livrés dans des box en bois gravées.,,1/4
38,Enquête : Les nouveaux clubs privés,Enquête,4,,,,, 
42,Galerie : Rouge Garage,Photo,4,,,,, 
46,0001175_sueño,Publicité,2,SUEÑO,Lingerie féminine,Marque de lingerie fine pensée pour être offerte avec storytelling sensuel et élégant.,,
48,Culture : L’art de rater sa vie,Culture,4,,,,, 
52,Portrait : L’homme qui fait les parfums de stars,Portrait,4,,,,, 
56,Galerie : Vue sur Elle,Photo,2,,,,, 
58,0001177_hôtel_lux,Publicité,2,HÔTEL LUX,Hôtellerie,Collection d’hôtels pour hommes seuls ou en couple design brutaliste et services sur mesure.,,
60,Galerie : Bleu nuit,Photo,2,,,,, 
62,Récit : Une nuit à Tokyo,Récit,4,,,,, 
66,Tech : Pourquoi tu ne décroches plus ?,Tech,2,,,,, 
68,Brèves culturelles,Culture,2,,,,, 
70,0001179_karu,Publicité,2,KARU,Soins homme,Cosmétique haut de gamme pour hommes à base d’actifs marins et minéraux avec pack noir mat.,,
72,Tendance : L’objet du mois,Style,2,,,,, 
74,Vin & spiritueux,Lifestyle,2,,,,, 
76,Focus design : Maison d’homme,Design,4,,,,, 
80,Mode : Accessoires d’été,Mode,4,,,,, 
84,0001181_équipe_z,Publicité,2,ÉQUIPE Z,Technologie,Start-up française spécialisée dans les montres connectées analogiques pour gentlemen modernes.,,
86,Tribune libre,Opinion,2,,,,, 
88,Dossier lifestyle : L’art de se taire,Lifestyle,4,,,,, 
92,Musique : Playlist du mois,Culture,2,,,,, 
94,Forme : Rituels du matin,Bien-être,2,,,,, 
96,Tech & gadgets,Tech,2,,,,, 
98,Sélection shopping,Style,4,,,,, 
102,Rencontre : L’homme discret derrière la marque X,Portrait,4,,,,, 
106,Horoscope masculin illustré,Humour,2,,,,, 
108,Agenda urbain,Culture,2,,,,, 
110,Érotisme rétro,Érotisme,2,,,,, 
112,Lecteurs & courrier,Participation,2,,,,, 
114,Le duel,Débat,2,,,,, 
116,Cahier grooming,Grooming,4,,,,, 
120,0001183_maison_cuir,Publicité,2,MAISON CUIR,Mode,Atelier de vestes ceintures et sacs en cuir sur-mesure tout fabriqué en France.,,
122,Femmes qui inspirent les hommes,Portrait,4,,,,, 
126,Carnet de voyage : Naples,Voyage,4,,,,, 
130,Portfolio artistique,Art,4,,,,, 
134,Petites annonces fictives,Humour,2,,,,, 
136,Playground,Mix,4,,,,, 
140,0001185_vantelli,Publicité,2,,,,, 
142,0001187_ombréa,Publicité,2,,,,, 
144,0001189_silverfox,Publicité,2,,,,, 
146,0001191_murmure,Publicité,2,,,,, 
148,Making-of couverture + galerie off,Backstage,4,,,,, 
152,Index du numéro,Index,2,,,,, 
154,Publicité & auto-promo - Partie 1,Publicité,4,VANTELLI,Accessoires de voyage haut de gamme,Valises en cuir vintage et gadgets ultra-pratiques pour les gentlemen globe-trotters.,,
158,Publicité & auto-promo - Partie 2,Publicité,2,OMBRÉA,Lunettes de soleil et optique,Marque branchée et écoresponsable verres polarisés et montures designs pour hommes modernes.,,
160,Publicité & auto-promo - Partie 3,Publicité,2,SILVERFOX,Vêtements et costumes sur mesure,Tailleur français spécialiste du costume intemporel coupe ajustée et tissus nobles.,,
162,Publicité,Publicité,2,MURMURE,High-tech audio,Casques et enceintes audio premium avec un son clair puissant et un design minimaliste.,,
164,0001193_luxor_ritual,Publicité,2,LUXOR RITUAL,Bien-être et spa pour hommes,Chaîne de spas urbains massages signature soins énergétiques et rituels exclusifs.,,
166,Publicité & auto-promo - Partie 4,Publicité,1,,,,, 
167,Page blanche,Blanc,1,,,,,  
168,C4 - Quatrième de couverture,Cover,1,,,,,
